Restaurant Name,Address,Average Review,Pass,Conditional,Fail
A' Cappella Bistro,"1301 S Michigan (between 13th St & 14th St) Chicago, IL 60605 Neighborhood: Near Southside",2,4,0,1
A Mano,"335 N Dearborn St (Chicago, IL 60601 Neighborhood: Near North Side",4,1,0,1
Abou Andre,"60 E Jackson Blvd (between Wabash Ave & Michigan Ave) Chicago, IL 60604 Neighborhood: The Loop",4,2,0,1
Ada's Famous Deli,"14 S Wabash Ave (Chicago, IL 60603 Neighborhood: The Loop",3,0,0,0
Alain's,"1355 S Michigan Ave (between 13th St & 14th St) Chicago, IL 60605 Neighborhood: Near Southside",4,2,0,3
Allstars Sports Bar & Grill,"205 W Wacker Dr (between Post Pl & Adams St) Chicago, IL 60606 Neighborhood: The Loop",3,5,1,4
Alonti Cafe,"401 S Lasalle St (Chicago, IL 60605 Neighborhood: The Loop",3,0,0,0
Alonti Cafe,"225 N Michigan Ave (between Lake St & Wacker Pl) Chicago, IL 60601 Neighborhood: The Loop",4,0,0,0
Alonti Cafe,"177 W Washington St (between La Salle St & Wells St) Chicago, IL 60602 Neighborhood: The Loop",4,0,0,0
Alonti Deli,"2 N Riverside Plz (between Madison St & Monroe St) Chicago, IL 60606 Neighborhood: Near West Side",3,0,0,0
Alonti Deli,"300 S Riverside Plz (between Jackson Blvd & Van Buren St) Chicago, IL 60606 Neighborhood: Near West Side",3,6,4,0
Alonti Market Cafe,"1 N Franklin St (between Madison St & Arcade Pl) Chicago, IL 60606 Neighborhood: The Loop",4,4,2,1
Al's Beef,"28 E Jackson Dr (between Wabash Ave & State St) Chicago, IL 60604 Neighborhood: The Loop",3,0,0,0
Amarit Thai Restaurant,"600 S Dearborn St (between Harrison St & Polk St) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop",3,11,0,4
Americana Submarine,"400 S Clark St (between Congress Pky & Van Buren St) Chicago, IL 60605 Neighborhood: The Loop",2,6,7,1
America's Dog,"21 E Adams St (between Dearborn St & State St) Chicago, IL 60603 Neighborhood: The Loop",3,6,0,1
America's Dog,"26 E Randolph St (between State St & Wabash Ave) Chicago, IL 60601 Neighborhood: The Loop",4,9,2,2
Ara On,"160 W Adams St (between La Salle St & Wells St) Chicago, IL 60603 Neighborhood: The Loop",4,11,2,1
Arby's,"195 N Dearborn St (between Couch Pl & Lake St) Chicago, IL 60601 Neighborhood: The Loop",3,0,0,1
Arby's,"20 E Jackson Blvd (between State St & Wabash Ave) Chicago, IL 60604 Neighborhood: The Loop",3,4,2,0
Arby's,"100 W Randolph St (between Michigan Ave & Beaubien Ct) Chicago, IL 60601 Neighborhood: The Loop",3,0,0,0
Aria,"200 N Columbus Dr (between Lake St & Lower South Water) Chicago, IL 60601 Neighborhood: The Loop",4,0,0,0
Armand's Pizzeria,"151 E Randall Rd (Chicago, IL 60601",3,0,0,0
Around the Corner,"325 S Franklin St (between Jackson Blvd & Van Buren St) Chicago, IL 60606 Neighborhood: The Loop",5,0,0,0
Artist's Cafe,"412 S Michigan Ave (between Van Buren St & Congress Pky) Chicago, IL 60605 Neighborhood: The Loop",2,8,2,0
Artist's Cafe,"1150 S Wabash (between 11th St & Roosevelt Rd) Chicago, IL 60605 Neighborhood: South Loop",3,2,0,2
Arturo Express,"122 S Canal St (between Monroe St & Washington Blvd) Chicago, IL 60606 Neighborhood: Near West Side",4,9,0,0
Asian Chao and Villa Italian,"18 W Jackson Blvd (between State St & Wabash Ave) Chicago, IL 60604 Neighborhood: The Loop",2,2,0,1
Atwood Cafe,"1 W Washington St (between State St & Holden Ct) Chicago, IL 60602 Neighborhood: The Loop",4,3,1,0
Au Bon Pain,"125 S Wacker Dr (between Adams St & Clark St) Chicago, IL 60606 Neighborhood: The Loop",3,13,1,4
Au Bon Pain,"181 W Madison St (Lobby 3 (between La Salle St & Wells St) Chicago, IL 60602",3,10,0,1
Au Bon Pain,"210 S Canal St (between Adams St & Milwaukee Ave) Chicago, IL 60606 Neighborhood: Near West Side",3,6,6,1
Au Bon Pain,"108 N State (between Washington St & Court Pl) Chicago, IL 60602 Neighborhood: The Loop",3,0,0,0
Au Bon Pain,"200 E Randolph St (at Stetson Ave) Chicago, IL 60601 Neighborhood: The Loop",3,9,0,0
Au Bon Pain,"200 W Adams St (between Wells St & Franklin St) Chicago, IL 60606 Neighborhood: The Loop",3,11,3,3
Augustino's Rock & Roll Deli,"233 S Wacker Dr (Chicago, IL 60606 Neighborhood: The Loop",4,1,0,0
Argo Tea,"16 W Randolph St (between State St & Wabash Ave) Chicago, IL 60601 Neighborhood: The Loop",4,11,2,2
Argo Tea,"140 S Dearborn St (Chicago, IL 60603 Neighborhood: The Loop",4,6,0,1
Australian Homemade,"111 N State St (between Washington St & Court Pl) Chicago, IL 60602 Neighborhood: The Loop",5,0,0,0
Angels & Kings,"230 N Michigan Ave (Chicago, IL 60601 Neighborhood: The Loop",3,0,0,0
Avanti Caff��������,"200 W Jackson Blvd (between Franklin St & Wells St) Chicago, IL 60606 Neighborhood: The Loop",,0,0,0
Avec,"615 W Randolph St (Chicago, IL 60606 Neighborhood: Near West Side",,0,0,0
